name,age,value,nationality,overall,potential,club
N. Maynard,31,€675K,England,67,67,Bury
J. Ebot-Etchi,22,€240K,Germany,60,67,VfL Sportfreunde Lotte
M. Turner,34,€230K,England,67,67,Southend United
J. Dörfler,21,€290K,Germany,60,67,KFC Uerdingen 05
Mandi,29,€600K,Spain,67,67,Wellington Phoenix
Adrià Arjona,22,€290K,Spain,60,67,CF Reus Deportiu
B. Hamer,30,€500K,England,67,67,Huddersfield Town
J. Borgmann,20,€250K,Germany,60,67,SC Preußen Münster
A. Borgmann,23,€475K,Germany,64,67,VVV-Venlo
W. Boyle,22,€250K,England,60,67,Cheltenham Town
E. Soriano,29,€750K,Germany,67,67,Korona Kielce
L. Pfeiffer,21,€230K,Germany,59,67,VfL Osnabrück
K. Henry,35,€180K,England,67,67,Bradford City
S. Matthews,21,€230K,England,59,67,Bristol Rovers
J. Morris,26,€825K,England,67,67,Scunthorpe United
C. Kühlwetter,22,€230K,Germany,59,67,1. FC Kaiserslautern
S. Traut,33,€290K,Germany,67,67,VfR Aalen
M. Baghdadi,21,€230K,Germany,59,67,Bristol Rovers
D. Kempe,32,€425K,Germany,67,67,FC Erzgebirge Aue
Pol Moreno,24,€200K,Spain,59,67,GIF Sundsvall
J. Green,23,€475K,England,63,67,Yeovil Town
J. Bridge,22,€230K,England,59,67,Northampton Town
C. Noone,30,€725K,England,67,67,Bolton Wanderers
Alberto González,21,€170K,Spain,59,67,Córdoba CF
Abraham,32,€425K,Spain,67,67,Gimnàstic de Tarragona
C. Baker-Richardson,22,€230K,England,59,67,Swansea City
Pol,26,€400K,Spain,64,67,CF Reus Deportiu
D. Sauerland,21,€170K,Germany,58,67,Eintracht Braunschweig
J. Perch,32,€450K,England,67,67,Scunthorpe United
M. Sprang,17,€120K,Germany,58,67,FSV Zwickau
S. Lewerenz,27,€800K,Germany,67,67,Holstein Kiel
B. Chapman,19,€190K,England,58,67,Gillingham
Miguel Flaño,33,€300K,Spain,67,67,CA Osasuna
C. Okoroji,21,€170K,England,58,67,SC Freiburg
M. Parensen,32,€425K,Germany,67,67,1. FC Union Berlin
A. Sebald,21,€150K,Germany,58,67,FC Hansa Rostock
Nano,33,€290K,Spain,67,67,UD Almería
M. Lund,21,€170K,England,58,67,Doncaster Rovers
Pardo,30,€575K,Spain,67,67,Extremadura UD
L. Bilboe,20,€130K,England,57,67,Rotherham United
D. Perkins,36,€240K,England,67,67,Rochdale
D. Lavercombe,21,€130K,England,57,67,Wigan Athletic
J. Kalla,31,€500K,Germany,67,67,FC St. Pauli
Z. Westbrooke,21,€170K,England,57,67,Coventry City
C. Burgess,26,€475K,England,64,67,Portsmouth
R. Allassani,22,€170K,England,57,67,Coventry City
Diego Aguirre,27,€800K,Spain,67,67,Real Zaragoza
A. Adetula,20,€170K,Germany,57,67,Eintracht Braunschweig
Javi Flores,32,€575K,Spain,67,67,Elche CF
H. Isted,21,€120K,England,56,67,Luton Town
J. Young,32,€450K,England,67,67,Brisbane Roar
Álvaro Gómez,21,€150K,Spain,56,67,Albacete BP
A. Grant,31,€525K,England,67,67,Shrewsbury
L. Robles,21,€160K,England,56,67,Grimsby Town
P. Riese,28,€625K,Germany,67,67,FC Erzgebirge Aue
B. Leneis,19,€120K,Germany,56,67,FC Augsburg
G. Evans,30,€725K,England,67,67,Portsmouth
E. Suliman,20,€140K,England,55,67,FC Emmen
J. Sternberg,25,€550K,Germany,65,67,1. FC Kaiserslautern
Y. Nuxoll,20,€140K,Germany,55,67,SV Meppen
Josan,28,€775K,Spain,67,67,Elche CF
E. Adebayo,20,€160K,England,55,67,Swindon Town
M. Jarvis,32,€600K,England,67,67,Norwich City
J. Simpson,19,€150K,England,55,67,Forest Green Rovers
Borja García,28,€500K,Spain,65,67,Extremadura UD
K. Mooney,19,€130K,England,53,67,Cheltenham Town
F. Herbers,24,€575K,Germany,64,67,Philadelphia Union
J. Piggott,19,€130K,England,53,67,Morecambe
M. Endres,27,€600K,Germany,66,67,SpVgg Unterhaching
J. Nahr,18,€120K,Germany,53,67,FC Carl Zeiss Jena
K. Kratz,31,€675K,Germany,67,67,Atlanta United
J. Gibson,20,€130K,England,53,67,Bradford City
Kike Márquez,28,€775K,Spain,67,67,Extremadura UD
A. Collins,18,€100K,England,52,67,Exeter City
C. Handke,29,€600K,Germany,67,67,1. FC Magdeburg
D. Sesay,19,€100K,England,52,67,Crawley Town
U. Taffertshofer,26,€625K,Germany,66,67,VfL Osnabrück
F. Norman,18,€80K,England,52,67,Exeter City
J. Pigott,24,€500K,England,63,67,AFC Wimbledon
W. Dean,17,€70K,England,51,67,Exeter City
S. Skarlatidis,27,€800K,Germany,67,67,FC Würzburger Kickers
J. Baxter,17,€70K,England,51,67,Preston North End
N. Dams,28,€625K,Germany,67,67,SV Wehen Wiesbaden
T. Stead,18,€70K,England,51,67,Preston North End
Dani Rodríguez,30,€700K,Spain,67,67,RCD Mallorca
J. Ellis,17,€70K,England,51,67,Bray Wanderers
Santamaría,33,€375K,Spain,67,67,SD Huesca
S. Whaler,17,€60K,England,50,67,Northampton Town
R. Vollath,28,€525K,Germany,66,67,KFC Uerdingen 05
B. Horton,17,€50K,England,50,67,Doncaster Rovers
S. Benyamina,28,€800K,Germany,67,67,Pogoń Szczecin
N. Stephan,17,€50K,Germany,49,67,FC Würzburger Kickers
Gonzalo Verdú,29,€600K,Spain,67,67,Elche CF
F. Sinclair-Smith,17,€60K,England,49,67,Blackpool
M. Heider,32,€600K,Germany,67,67,VfL Osnabrück
L. Watkins,18,€60K,England,47,67,Cambridge United
P. Testroet,27,€825K,Germany,67,67,FC Erzgebirge Aue
B. Worman,16,€60K,England,47,67,Cambridge United
T. Elliott,27,€825K,England,67,67,Millwall
S. Lex,28,€775K,Germany,67,67,TSV 1860 München
L. Akins,29,€750K,England,67,67,Burton Albion
Provencio,30,€700K,Spain,67,67,Elche CF
P. Digby,23,€400K,England,63,67,Forest Green Rovers
Kako Sanz,25,€550K,Spain,64,67,CD Numancia
F. Herzenbruch,25,€475K,Germany,64,67,SC Paderborn 07
I. Henderson,33,€475K,England,67,67,Rochdale
Juande,31,€525K,Spain,67,67,Perth Glory
C. Schorch,29,€600K,Germany,67,67,KFC Uerdingen 05
R. Allsop,26,€400K,England,64,67,Wycombe Wanderers
Tekio,27,€625K,Spain,67,67,Elche CF
Camacho,37,€260K,Spain,67,67,SD Huesca
Borja Granero,28,€575K,Spain,66,67,Extremadura UD
S. Bertram,27,€825K,Germany,67,67,FC Erzgebirge Aue
S. Moore,28,€525K,England,67,67,Sheffield United
J. Edwards,27,€775K,England,67,67,Walsall
Borja Viguera,31,€675K,Spain,67,67,CD Numancia
M. Zimmer,25,€575K,Germany,64,67,FC Energie Cottbus
K. Agard,28,€800K,England,67,67,Milton Keynes Dons
M. Little,29,€575K,England,67,67,Bolton Wanderers
F. Menig,24,€475K,Germany,64,67,SC Preußen Münster
J. Gray,22,€400K,England,62,67,Yeovil Town
M. Johnson,27,€800K,England,67,67,Sheffield United
L. Burge,25,€350K,England,63,67,Coventry City
S. Hertner,27,€600K,Germany,66,67,SV Darmstadt 98
H. Pell,26,€750K,England,66,67,Colchester United
K. Pannewitz,26,€750K,Germany,66,67,FC Carl Zeiss Jena
L. Sercombe,28,€750K,England,67,67,Bristol Rovers
D. Keita-Ruel,28,€800K,Germany,67,67,SpVgg Greuther Fürth
N. Hammann,30,€575K,Germany,67,67,1. FC Magdeburg
G. O'Neil,35,€180K,England,67,67,Bolton Wanderers
D. Mast,26,€750K,Germany,66,67,FC Würzburger Kickers
M. Konrad,30,€575K,Germany,67,67,KFC Uerdingen 05
M. Sadler,33,€300K,England,67,67,Shrewsbury
Héctor Rodas,30,€575K,Spain,67,67,AD Alcorcón
M. Trapp,26,€625K,Germany,66,67,VfL Osnabrück
S. Whalley,30,€725K,England,67,67,Shrewsbury
T. Geyer,27,€650K,Germany,67,67,VfR Aalen
S. Schimmer,24,€500K,Germany,63,67,SpVgg Unterhaching
Andújar,26,€475K,Spain,64,67,CF Rayo Majadahonda
M. Pourié,27,€825K,Germany,67,67,Karlsruher SC
G. Saunders,29,€600K,England,67,67,Envigado FC
J. Spearing,29,€725K,England,67,67,Blackpool
L. Feeney,31,€675K,England,67,67,Blackpool
J. Coppinger,37,€260K,England,67,67,Doncaster Rovers
T. Rowe,29,€750K,England,67,67,Doncaster Rovers
B. Richards-Everton,26,€475K,England,64,67,Accrington Stanley
A. Sorge,25,€350K,Germany,62,67,FSV Zwickau
B. Uaferro,26,€475K,Germany,64,67,SC Fortuna Köln
T. Leugers,27,€600K,Germany,66,67,SV Meppen
B. Jones,31,€500K,England,67,67,Rotherham United
O. Beckles,26,€625K,England,66,67,Shrewsbury
N. Karger,25,€575K,Germany,64,67,TSV 1860 München
N. Cameron,26,€475K,England,64,67,Macclesfield Town
M. Bär,26,€750K,Germany,66,67,VfR Aalen
Chus Herrero,34,€230K,Spain,67,67,Albacete BP
C. Tilt,26,€475K,England,64,67,Blackpool
F. Viteritti,25,€650K,Germany,65,67,FC Energie Cottbus
D. Rowe,26,€825K,England,67,67,Ipswich Town
F. Kaufmann,25,€775K,Germany,66,67,FC Würzburger Kickers
Fran García,25,€550K,Spain,65,67,Albacete BP
K. Müller,27,€375K,Germany,64,67,FC St. Pauli
J. McCourt,22,€325K,England,61,66,Swindon Town
Fran Gámez,26,€525K,Spain,65,66,RCD Mallorca
T. Forbes,22,€130K,England,55,66,Newport County
C. Stokes,27,€500K,England,65,66,Bury
J. Flannigan,22,€325K,England,61,66,Burton Albion
J. Riley,26,€525K,England,65,66,Plymouth Argyle
A. Lacey,25,€180K,England,59,66,Gillingham
L. Norris,25,€650K,England,65,66,Colchester United
M. Barnofsky,23,€290K,Germany,61,66,Carpi
J. Clarke,26,€525K,England,65,66,Scunthorpe United
M. Engelhardt,25,€240K,Germany,61,66,Eintracht Braunschweig
C. Hemlein,27,€675K,Germany,66,66,1. FC Kaiserslautern
J. Lorch,22,€290K,Germany,61,66,SV Wehen Wiesbaden
M. Könnecke,29,€625K,Germany,66,66,FSV Zwickau
C. Thomas,24,€325K,England,61,66,Cheltenham Town
A. Dercho,31,€425K,Germany,66,66,VfL Osnabrück
M. Roberts,17,€60K,England,48,66,Northampton Town
L. Holmes,31,€575K,England,66,66,Exeter City
Mario Sánchez,22,€160K,Spain,58,66,Cádiz CF
M. Oesterhelweg,27,€675K,Germany,66,66,VfL Sportfreunde Lotte
M. Beeney,22,€140K,England,58,66,Sligo Rovers
F. Dick,33,€250K,Germany,66,66,1. FC Kaiserslautern
J. McDonnell,24,€140K,England,58,66,AFC Wimbledon
Corpas,26,€700K,Spain,66,66,UD Almería
J. Maguire,22,€180K,England,59,66,Crawley Town
L. Mulholland,29,€625K,England,66,66,Real Salt Lake
O. Shannon,22,€160K,England,57,66,Atlanta United
D. Pratley,33,€375K,England,66,66,Charlton Athletic
H. Smith,23,€220K,England,59,66,Macclesfield Town
A. Ogogo,28,€650K,England,66,66,Coventry City
R. Benz,22,€140K,Germany,58,66,KFC Uerdingen 05
M. Erb,28,€500K,Germany,65,66,KFC Uerdingen 05
J. Bird,20,€190K,England,58,66,Barnsley
L. Novak,29,€650K,England,66,66,Scunthorpe United
E. Sonupé,22,€220K,England,59,66,Stevenage
D. Stahl,29,€500K,Germany,66,66,SpVgg Unterhaching
T. Johnson,17,€50K,England,50,66,Crewe Alexandra
D. Mayor,27,€675K,England,66,66,Bury
Sergio Gónzalez,21,€190K,Spain,59,66,Cádiz CF
J. Obika,27,€675K,England,66,66,Oxford United
R. Hackett-Fairchild,20,€70K,England,50,66,Charlton Athletic
D. Charles,30,€475K,England,66,66,Wycombe Wanderers
G. Nugent,16,€60K,England,46,66,Tranmere Rovers
N. Blackman,28,€650K,England,66,66,Real Sporting de Gijón
M. Fritz,24,€325K,Germany,62,66,SC Fortuna Köln
P. Hoffmann,26,€625K,Germany,65,66,SC Preußen Münster
P. Harant,19,€160K,Germany,57,66,1. FC Magdeburg
T. Mears,35,€140K,England,66,66,West Bromwich Albion
L. Brüggemeier,20,€120K,Germany,57,66,SC Paderborn 07
R. Taylor,30,€625K,England,66,66,Plymouth Argyle
M. Smith,22,€220K,England,59,66,Swindon Town
N. Thompson,27,€525K,England,66,66,Portsmouth
A. Simpson,19,€130K,England,57,66,Gillingham
Isidoro,31,€425K,Spain,66,66,FK Bodø/Glimt
Ernest Forgás,24,€400K,Spain,62,66,CF Reus Deportiu
A. Wildig,26,€625K,England,65,66,Morecambe
D. Walker-Rice,17,€60K,England,47,66,Tranmere Rovers
Jony Ñíguez,33,€260K,Spain,66,66,Elche CF
R. Jendrusch,22,€210K,Germany,60,66,FC Erzgebirge Aue
Aitor,31,€425K,Spain,66,66,Extremadura UD
Chechu Grana,23,€210K,Spain,60,66,CF Reus Deportiu
L. Brown,27,€525K,England,66,66,Portsmouth
J. Rowland,16,€70K,England,51,66,Shrewsbury
J. Norwood,27,€675K,England,66,66,Tranmere Rovers
J. Brendieck,19,€90K,Germany,52,66,MSV Duisburg
A. Taylor,31,€425K,England,66,66,Bolton Wanderers
J. Barmby,23,€280K,England,60,66,Portland Timbers
K. Bennett,27,€675K,England,66,66,Bristol Rovers
A. Nathaniel-George,23,€280K,England,60,66,Crawley Town
M. Rahn,28,€500K,Germany,65,66,VfL Sportfreunde Lotte
D. Mottley-Henry,20,€160K,England,57,66,Tranmere Rovers
G. Roberts,34,€325K,England,66,66,Wigan Athletic
J. Lambert,19,€110K,England,52,66,Dundee FC
D. Erdmann,27,€550K,Germany,66,66,1. FC Magdeburg
A. Jarvis,20,€120K,England,53,66,Luton Town
D. Peitz,33,€260K,Germany,66,66,Holstein Kiel
J. Bartels,19,€90K,Germany,53,66,1. FC Köln
A. Akinfenwa,36,€230K,England,66,66,Wycombe Wanderers
L. Sedlak,18,€80K,Germany,53,66,FC Carl Zeiss Jena
Benja,30,€625K,Spain,66,66,Elche CF
L. Langhans,19,€110K,Germany,53,66,FC Würzburger Kickers
Trujillo,30,€475K,Spain,66,66,UD Almería
J. Dodd,17,€100K,England,53,66,Exeter City
L. Martin,31,€575K,England,66,66,Exeter City
H. Norris,17,€50K,England,48,66,Oldham Athletic
E. Ward,33,€260K,England,66,66,Notts County
J. Flatt,23,€160K,England,59,66,Scunthorpe United
T. Spurr,30,€475K,England,66,66,Fleetwood Town
W. Henry,19,€50K,England,49,66,Swindon Town
L. Leahy,25,€450K,England,64,66,Walsall
T. Königsmann,21,€210K,Germany,60,66,SpVgg Greuther Fürth
A. Sarcevic,26,€525K,England,64,66,Plymouth Argyle
J. Greatorex,18,€50K,England,49,66,Barnsley
K. Bülow,32,€375K,Germany,66,66,FC Hansa Rostock
M. Grundmann,20,€130K,Germany,56,66,FC Energie Cottbus
M. Vitzthum,26,€450K,Germany,64,66,SG Sonnenhof Großaspach
G. Maris,22,€280K,England,60,66,Cambridge United
S. McConville,29,€625K,England,66,66,Accrington Stanley
J. Gibbons,20,€240K,England,60,66,Port Vale
L. Kruse,34,€260K,Germany,66,66,Eintracht Braunschweig
S. George,20,€100K,England,54,66,Tranmere Rovers
G. Tansey,29,€500K,England,66,66,Aberdeen
J. Fryer,22,€210K,England,60,66,Carlisle United
C. Lines,32,€475K,England,66,66,Bristol Rovers
S. Belkahia,19,€120K,Germany,56,66,TSV 1860 München
H. Zuck,27,€675K,Germany,66,66,1. FC Kaiserslautern
B. Stephens,20,€150K,England,56,66,Macclesfield Town
B. Coker,29,€475K,England,66,66,Southend United
M. Dolan,25,€375K,England,62,66,Newport County
M. Oxley,27,€425K,England,66,66,Southend United
H. Brockbank,19,€100K,England,54,66,Bolton Wanderers
D. Rose,30,€600K,England,66,66,Portsmouth
N. Quindt,21,€140K,Germany,58,66,VfL Sportfreunde Lotte
Manuel Sánchez,30,€475K,Spain,66,66,Elche CF
Marc Vito,21,€110K,Spain,56,66,Girona FC
T. McMahon,32,€350K,England,66,66,Oxford United
R. Wintle,21,€140K,England,56,66,Crewe Alexandra
M. Heinloth,26,€450K,Germany,64,66,Zagłębie Sosnowiec
R. Griffiths,18,€60K,England,49,66,Crewe Alexandra
D. Haas,34,€260K,Germany,66,66,FC Erzgebirge Aue
A. Baldwin,21,€110K,England,54,66,Cheltenham Town
S. Kotysch,29,€500K,Germany,66,66,Sint-Truidense VV
T. Wood,19,€120K,England,54,66,AFC Wimbledon
M. Ehmer,26,€550K,Germany,66,66,Gillingham
J. Meiser,19,€120K,Germany,54,66,SG Sonnenhof Großaspach
Jano,31,€425K,Spain,66,66,SV Mattersburg
Jefté,24,€400K,Spain,62,66,SV Mattersburg
P. Funk,28,€525K,Germany,66,66,VfR Aalen
J. Weaver,21,€100K,England,54,66,Birmingham City
R. Eckardt,28,€650K,Germany,66,66,FC Carl Zeiss Jena
L. Russe,18,€110K,England,54,66,Bristol Rovers
Basilio,34,€260K,Spain,66,66,CF Rayo Majadahonda
T. Kircher,19,€100K,Germany,54,66,Karlsruher SC
N. Law,30,€600K,England,66,66,Exeter City
E. Bekiroglu,22,€325K,Germany,61,66,TSV 1860 München
M. Stein,32,€375K,Germany,66,66,FC Energie Cottbus
J. Jesgarzewski,24,€280K,Germany,61,66,SV Meppen
P. Herrmann,30,€475K,Germany,66,66,Holstein Kiel
A. Eichhorn,19,€120K,Germany,56,66,SC Fortuna Köln
D. Martin,32,€375K,England,66,66,Millwall
M. Rose,23,€325K,England,61,66,Grimsby Town
Xisco Campos,36,€70K,Spain,66,66,RCD Mallorca
O. Ünlüçifçi,21,€150K,Germany,56,66,FC Würzburger Kickers
R. Lange,29,€475K,Germany,66,66,FSV Zwickau
D. Breitfelder,21,€150K,Germany,56,66,VfL Sportfreunde Lotte
C. Taylor,31,€575K,England,66,66,Blackpool
K. Kennedy,24,€325K,England,62,66,Shrewsbury
K. Gehring,30,€475K,Germany,66,66,SG Sonnenhof Großaspach
M. Blair,18,€130K,England,56,66,Burnley
N. Proschwitz,31,€575K,Germany,66,66,SV Meppen
A. Famewo,19,€130K,England,55,66,Grimsby Town
C. Dorda,29,€475K,Germany,66,66,KFC Uerdingen 05
A. Beestin,20,€190K,England,58,66,Doncaster Rovers
O. Kefkir,26,€700K,Germany,66,66,KFC Uerdingen 05
N. Heidemann,23,€280K,Germany,61,66,SC Preußen Münster
S. Brandstetter,28,€675K,Germany,66,66,SV Wehen Wiesbaden
R. Slater,18,€140K,England,55,66,Carlisle United
M. Hughes,31,€425K,England,66,66,Accrington Stanley
E. Ross,21,€100K,England,54,66,Colchester United
S. Davies,30,€625K,England,66,66,Blackpool
D. Frick,28,€525K,Germany,66,66,FSV Zwickau
S. Freis,33,€400K,Germany,66,66,SSV Jahn Regensburg
E. Domaschke,32,€375K,Germany,66,66,SV Meppen
Morillas,31,€425K,Spain,66,66,CF Rayo Majadahonda
J. Brayford,30,€475K,England,66,66,Burton Albion
B. Alnwick,31,€400K,England,66,66,Bolton Wanderers
M. Lorenz,29,€625K,Germany,66,66,Karlsruher SC
A. Mintzel,36,€70K,Germany,66,66,SV Wehen Wiesbaden
L. Trotter,29,€625K,England,66,66,AFC Wimbledon
Valverde,33,€400K,Spain,66,66,Extremadura UD
L. Varney,35,€300K,England,66,66,Cheltenham Town
Aridai,29,€625K,Spain,66,66,RCD Mallorca
J. Al-Hazaimeh,26,€450K,Germany,64,66,VfL Sportfreunde Lotte
David Haro,27,€675K,Spain,66,66,GIF Sundsvall
C. Kum,32,€350K,Germany,66,66,VVV-Venlo
Íñigo López,35,€150K,Spain,66,66,Extremadura UD
M. Sordell,27,€675K,England,66,66,Burton Albion
Luis Rioja,24,€550K,Spain,64,66,UD Almería
A. Winkler,26,€450K,Germany,64,66,SpVgg Unterhaching
J. Tillson,25,€450K,England,64,66,Exeter City
T. Eastman,26,€450K,England,64,66,Colchester United
J. Day,27,€300K,England,63,66,Newport County
O. Turton,25,€375K,England,63,66,Blackpool
J. Matuwila,26,€375K,Germany,63,66,FC Energie Cottbus
R. Bingham,24,€400K,England,62,66,Hamilton Academical FC
A. Eastham,27,€375K,England,63,66,Fleetwood Town
O. Norburn,25,€450K,England,63,66,Shrewsbury
M. Trianni,25,€475K,Germany,63,66,VfR Aalen
C. McAleny,25,€475K,England,63,66,Fleetwood Town
A. Meyer,27,€300K,Germany,63,66,VfB Stuttgart
M. Ziereis,25,€475K,Germany,63,66,TSV 1860 München
Stoichkov,24,€475K,Spain,63,66,RCD Mallorca
D. Poggenberg,26,€375K,Germany,63,66,SG Sonnenhof Großaspach
H. Paul,24,€325K,Germany,62,66,TSV 1860 München
D. Wiebe,24,€400K,Germany,63,66,SC Preußen Münster
N. Erlbeck,25,€375K,Germany,62,66,FC Carl Zeiss Jena
P. Sohm,26,€650K,Germany,65,66,Hallescher FC
J. Derstroff,26,€625K,Germany,65,66,SSV Jahn Regensburg
M. Dombrowka,26,€525K,Germany,65,66,SpVgg Unterhaching
K. Hemmings,26,€650K,England,65,66,Notts County
J. Jervis,26,€650K,England,65,66,AFC Wimbledon
M. Harsman,18,€50K,Germany,49,65,SV Meppen
Rubén Mesa,26,€375K,Spain,62,65,Villarreal CF
C. Köppel,23,€270K,Germany,61,65,TSV 1860 München
M. Gebers,32,€300K,Germany,65,65,SV Meppen
M. Gillesphey,22,€150K,England,58,65,Carlisle United
L. Dennis,25,€375K,England,62,65,Portsmouth
H. Davis,26,€325K,England,62,65,Grimsby Town
M. Exslager,27,€525K,Germany,64,65,SC Fortuna Köln
T. Pugh,17,€60K,England,48,65,Scunthorpe United
L. Daniels,30,€350K,England,65,65,Brentford
A. Whitmore,22,€240K,England,60,65,Grimsby Town
A. Kellett,24,€550K,England,64,65,Notts County
V. Stenzel,21,€220K,Germany,59,65,FC Carl Zeiss Jena
S. O'Keefe,27,€550K,England,65,65,Plymouth Argyle
L. Fesser,23,€180K,Germany,59,65,SC Paderborn 07
M. Ahlschwede,28,€450K,Germany,65,65,FC Würzburger Kickers
N. Nasseri,21,€220K,England,59,65,Gillingham
B. Pringle,29,€525K,England,65,65,Grimsby Town
E. Gumbs,20,€90K,England,52,65,Tranmere Rovers
S. Hoskins,25,€450K,England,63,65,Northampton Town
M. Hamrol,24,€160K,Germany,59,65,Korona Kielce
L. Hannant,24,€450K,England,63,65,Port Vale
W. Tomlinson,20,€140K,England,55,65,Blackburn Rovers
J. Welsh,34,€160K,England,65,65,Grimsby Town
M. Miller,22,€150K,England,57,65,Hamilton Academical FC
W. Thomas,31,€475K,England,65,65,Grimsby Town
T. Crawford,19,€100K,England,53,65,Notts County
D. Mirfin,33,€220K,England,65,65,Mansfield Town
C. Vernam,21,€160K,England,57,65,Grimsby Town
M. Schulze Niehues,29,€375K,Germany,65,65,SC Preußen Münster
M. Bülter,25,€375K,Germany,62,65,1. FC Magdeburg
R. Reid,29,€550K,England,65,65,Forest Green Rovers
M. Cullen,26,€375K,England,62,65,Blackpool
D. Wheeler,27,€575K,England,65,65,Portsmouth
O. Banks,25,€375K,England,62,65,Tranmere Rovers
D. Fox,34,€160K,England,65,65,Plymouth Argyle
L. Jones,22,€150K,England,58,65,Luton Town
J. Deumeland,30,€350K,Germany,65,65,IK Start
G. Leigh,23,€270K,England,61,65,NAC Breda
M. Röser,27,€575K,Germany,65,65,Karlsruher SC
J. Tibbetts,19,€110K,England,55,65,Peterborough United
M. Blair,29,€525K,England,65,65,Doncaster Rovers
C. Rzonca,21,€180K,England,58,65,Zagłębie Sosnowiec
L. Schlüter,26,€375K,Germany,63,65,FC Energie Cottbus
R. Lovett,21,€90K,England,54,65,Cheltenham Town
R. Bowman,26,€550K,England,64,65,Motherwell
J. Breitfeld,21,€120K,Germany,54,65,FC Ingolstadt 04
M. Janzer,26,€525K,Germany,64,65,Eintracht Braunschweig
J. Lynch,18,€60K,England,50,65,Crewe Alexandra
B. Waters,23,€375K,England,62,65,Northampton Town
J. Albrecht,20,€130K,Germany,58,65,SV Wehen Wiesbaden
A. Lonergan,34,€220K,England,65,65,Middlesbrough
J. Sheridan,18,€50K,England,50,65,Oldham Athletic
A. Stolz,34,€220K,Germany,65,65,TSG 1899 Hoffenheim
K. Hoffmann,23,€210K,Germany,59,65,FSV Zwickau
C. Bickel,27,€575K,Germany,65,65,FSV Zwickau
T. Brownsword,18,€50K,England,50,65,Morecambe
P. Breitkreuz,26,€550K,Germany,64,65,FC Würzburger Kickers
E. McKeown,19,€110K,England,54,65,Colchester United
R. Bennett,26,€475K,England,65,65,Peterborough United
J. Iaciofano,19,€100K,England,52,65,Northampton Town
P. Wiegers,28,€375K,Germany,64,65,SG Dynamo Dresden
M. Saunders-Henry,18,€110K,England,54,65,Millwall
D. Andrew,27,€450K,England,65,65,Doncaster Rovers
R. Herrmann,24,€375K,Germany,62,65,FC Erzgebirge Aue
M. Stiefler,29,€525K,Germany,65,65,Karlsruher SC
T. Campbell,21,€180K,England,58,65,Forest Green Rovers
J. Bowery,26,€550K,England,64,65,Crewe Alexandra
M. Kamenz,19,€150K,Germany,59,65,FSV Zwickau
N. Granatowski,27,€575K,Germany,65,65,SV Meppen
J. Norville-Williams,18,€50K,England,47,65,Cambridge United
D. Worrall,28,€550K,England,65,65,Port Vale
J. Ruffels,24,€270K,England,61,65,Oxford United
J. Akinde,28,€550K,England,65,65,Lincoln City
P. Sander,20,€150K,Germany,57,65,Holstein Kiel
A. Butler,34,€160K,England,65,65,Doncaster Rovers
M. Hudson,19,€150K,England,59,65,Bury
A. Langlitz,27,€425K,Germany,64,65,VfL Sportfreunde Lotte
W. Appleyard,18,€50K,England,49,65,Stevenage
J. Brown,29,€400K,England,65,65,Coventry City
R. Campbell,18,€110K,England,54,65,Gillingham
H. Dahmani,30,€500K,Germany,65,65,SC Fortuna Köln
R. Gondoh,21,€180K,England,58,65,Colchester United
J. Washausen,29,€425K,Germany,65,65,Hallescher FC
R. Hall-Johnson,23,€180K,England,59,65,Grimsby Town
J. Reinhardt,30,€400K,Germany,65,65,FSV Zwickau
R. Charles-Cook,24,€270K,England,62,65,SønderjyskE
L. Sowah,25,€325K,Germany,62,65,Hamilton Academical FC
H. Heath,22,€270K,England,60,65,Minnesota United FC
K. Behrens,27,€525K,Germany,64,65,SV Sandhausen
A. May,24,€325K,England,61,65,Doncaster Rovers
J. Mills,28,€425K,England,65,65,Forest Green Rovers
A. Kelsey,18,€50K,England,49,65,Scunthorpe United
J. Jones,29,€375K,England,65,65,Wigan Athletic
S. Tanser,23,€270K,England,61,65,St. Johnstone FC
M. Fetsch,29,€550K,Germany,65,65,Hallescher FC
M. Howarth,19,€140K,England,55,65,Burnley
O. Clarke,26,€575K,England,65,65,Bristol Rovers
G. Glendon,23,€375K,England,62,65,Carlisle United
E. Upson,28,€525K,England,65,65,Bristol Rovers
Jesús Jiménez,24,€375K,Spain,62,65,Górnik Zabrze
S. Brandy,33,€350K,Germany,65,65,DSC Arminia Bielefeld
J. Conze,18,€80K,Germany,51,65,SC Preußen Münster
A. Cook,27,€575K,England,65,65,Walsall
J. Dem,25,€325K,Germany,62,65,SG Sonnenhof Großaspach
S. Payne,26,€600K,England,65,65,Bristol Rovers
C. McWilliams,17,€60K,England,51,65,Northampton Town
S. Wagstaff,28,€550K,England,65,65,AFC Wimbledon
L. John,24,€130K,England,57,65,Cambridge United
J. Proctor,26,€550K,England,64,65,Rotherham United
J. Eastwood,21,€120K,England,57,65,Sheffield United
César Ortiz,29,€425K,Spain,65,65,SV Mattersburg
C. Hawkins,18,€50K,England,48,65,Burton Albion
T. Mickel,29,€375K,Germany,65,65,Hamburger SV
David Gil,24,€200K,Spain,60,65,Cádiz CF
T. Parkes,26,€475K,England,65,65,Carlisle United
K. Howkins,22,€280K,England,61,65,West Bromwich Albion
L. Dyer,35,€240K,England,65,65,Bolton Wanderers
