ï»¿SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE CITY,DEPARTURE STATE,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
S.S.R S Graham (1883),,Alex Harding,schooner,1871,"Milford, DE",11/8/1883,1883,11,8,Cape May LSS S 1.5 mi,,,Stranded,,US,128.5,30.5,9.1,341.49,324.52,"Philadelphia, PA",New York,NY,"Philadelphia, PA",L Smith,6,,0,"$15,000",,In ballast,Cape May #40,N,N,#100075; Refloated,
S.S.R W Dillon,,,schooner,,,12/5/1869,1869,12,5,Townsends Inlet,39-06-30 N,74-42-00 N,Stranded,,US,,,,,,"Mauricetown, NJ",Philadelphia,PA,"New Haven, CT",,5,,,,,Coal,,Y,N ,Total loss,
S.S.Race Rock,,,schooner,1853,"Sag Harbor, ME",12/24/1856,1856,12,24,Hereford Inlet bar,,,Grounded,Wood,US,,,8,195,,"Sag Harbor, ME",Philadelphia,PA,"Fall River, MA",Brown,5,,0,,,,,Y,N,Total loss,
S.S.Rachel S Miller,,E B Wheaton & Co,schooner,1852,"Philadelphia, PA",3/4/1882,1882,3,4,"Ocean City, NJ",,,Stranded,Wood,,100.4,27.8,9.1,196.15,,"Camden, NJ",Norfolk,VA,"Port Elizabeth, NJ",Conover,5,0,0,"$3,500",$600,Ties & lumber,,,N ,#21502,
S.S.Rachel Seaman,,C Seaman,schooner,1861,"Philadelphia, PA",10/24/1884,1884,10,24,Cape May,,,"Collision w/ ""Harry Landell""",,,,,,320,,"Philadelphia, PA",Philadelphia,PA,"New Haven, CT",Seaman,,,,,,,,N,N,"#21516; Towed in by ""Tecumseh""",
S.S.Rainbow (1852),,,schooner,,,12/8/1852,1852,12,8,Absecon Beach,,,Grounded; Capsized,,,,,,,,,Beaufort,NC,"New York, NY",Fairrcloyke/Farlow ?,7,,,,,,,Y,N ,All saved,Scrapbook #15
S.S.Rainbow (1852),,,schooner,,,4/3/1852,1852,4,3,,,,Stranded,,,,,,,,"Cape Island, NJ",Philadelphia,PA,"New York, NY",Williams,,,,,,,,Y,N ,Crew all lost,
S.S.Rainbow (1853),,,schooner,,,9/1853,1853,9,,Delaware Breakwater North side,,,Sank,,,,,,,,,Philadelphia,PA,"""An Eastern port """,,,,,,,,,,N  ,,
S.S.Rambler,,,schooner,,,4/10/1838,1838,4,10,Delaware Bay,,,Capsized and sank,,,,,,,,,,,,,,,1,,,,,Y,N,,
S.S.Rapidan (1870),,,schooner,1866,"Matthews County, VA",8/31/1870,1870,8,31,Absecon Beach,,,Dismasted; Stranded,,US,74.5,21.8,5.5,55.02,52.27,,Staten Island,NY,"York River, VA",Huggins,7,,0,,,,,N,N,#21580; Refloated,
S.S.Rapidan (1887),,,schooner,1866,"Matthews County, VA",3/28/1887,1887,3,28,Monmouth Beach LSS S 1 mi,,,Stranded,,US,74.5,21.8,5.5,55.02,52.27,"New York, NY",Fire Island,NY,"Sandy Hook, NJ",Bowker,6,0,0,"$5,000",,,Monmouth Beach,N,N ,#21580; Refloated; Damaged,
S.S.Reaper (1840),,,schooner,,,11/20/1840,1840,11,20,Barnegat,,,Abandoned,,,,,,,,,Cape May,NJ ,"New York, NY",,,,,,,Coal,,Y,N ,"Sank; Crew saved by ""Moses""",
S.S.Reaper (1848),,,schooner,,,1/9/1848,1848,1,9,Cape May Joe Flogger Shoal,,,Stranded; Bilged,,,,,,,,,,,"New York, NY",,,,,,,,,Y,N ,Total loss,
S.S.Rebecca (1885),,,schooner,,,8/14/1885,1885,8,14,Cape May LSS NW 1.5 mi,,,Stranded,,,,,,,,"Goshen, NJ",Goshen,NJ,"Cape May, NJ",, ,,0,"$4,500",,In ballast,Cape May LSS,N,N,Refloated,
S.S.Rebecca F Lamdin,,,schooner,1884,"Perry, ME",10/12/1892,1892,10,12,Monmouth Beach LSS NE 1.5 mi,,,In distress,Wood,US,145.5,33.5,13,464.34,441.1,"Eastport, ME",Savannah,GA,"Boston, MA",Thomas E Raye,8,,0,"$15,000","$3,000",Lumber,Monmouth Beah & Seabright,N,N,#110568; Towed to New York Hbr,
S.S.Rebecca M Smith (1883),,Jeremiah Smith & Co,schooner,1872,"Camden, NJ",3/16/1883,1883,3,16,Hereford Inlet North bar,,,Stranded,Wood,US,116.3,31.4,9.3,318.26,302.35,"Philadelphia, PA",Boston,MA,"Philadelphia, PA",W T Grace,,,,"$12,000",,None,Stone Harbor #35 & Hereford Inlet #36,N,N,#110040; Refloated,
S.S.Rebecca M Smith (1884),,Jeremiah Smith & Co,schooner,1872,"Camden, NJ",12/24/1884,1884,12,24,Sandy Hook S 25 mi,,,Damaged in storm,Wood,US,116.3,31.4,9.3,318.26,302.35,"Philadelphia, PA",,,,W T Grace,,,,,,,,N,N,#110040; Lost sails,
S.S.Rebecca M Smith (1903),,W T Grace,schooner,1872,"Camden, NJ",4/22/1903,1903,4,22,Cape May SE 5 mi,,,"Collision w/ ""E C Knight Jr""",Wood,US,116.3,31.4,9.3,318.26,302.35,"Philadelphia, PA",Lloyds Neck,NY,"Philadelphia, PA",W T Grace,5,,0,"$5,000",$700,445 ton gravel,,,N,#110040,
S.S.Rebecca M Smith (1904),,W T Grace,schooner,1872,"Camden, NJ",8/5/1904,1904,8,5,Little Egg Harbor shoal,,,Stranded,Wood,US,116.3,31.4,9.3,318.26,302.35,"Philadelphia, PA",Rockport,MA,"Philadelphia, PA",W T Grace,8,,0,"$2,500","$1,000",435 ton paving stones,Little Egg Harbor & Little Beach,Y,N,#110040; Total loss,
S.S.Rebecca Shepherd,,George W Shepherd Jr,schooner,1873,"Milford, DE",8/18/1879,1879,8,18,Barnegat,,,Foundered in gale,Wood,US,,,,411,,"Philadelphia, PA",Providence,RI,"Philadelphia, PA",L C Lake,7,,0,"$12,000",,In ballast,,,N,#110100,
S.S.Rebecca W Huddell (1875),,J L Maloy et al,schooner,1869,"Camden, NJ",8/24/1875,1875,8,24,Cape May,,,Stranded; Dismasted,Wood,US,125,36,8.5,256.52,243.7,"Philadelphia, PA",Gloucester,MA,"Philadelphia, PA",J L Maloy,,,,,,,,N,N,#21901; Refloated,
S.S.Rebecca W Huddell (1886),,John Middleton,schooner,1869,"Camden, NJ",9/16/1886,1886,9,16,Barnegat E 45 mi,,,"Collision w/ ""Jas Boyce Jr""",Wood,US,125,36,8.5,256.52,243.7,"Philadelphia, PA",Lanesville,MA,"Philadelphia, PA",R J Deputy,7,1,0,"$7,000","$3,000",250 ton stone,,N,N,#21901; Partial loss,
S.S.Recruit,,,schooner,1872,"Newtown, MD",12/18/1882,1882,12,18,Turtle Gut Inlet ENE 1 mi,,,Stranded,,,,,,16.89,,"Chincoteague, VA",New York,NY,"Chincoteague, VA",Taylor,3,,0,"$2,000",$200,Coal & brick,Turtle Gut,N,N,#110227; Refloated,
S.S.Reform,,,schooner,,,5/20/1845,1845,5,20,Sandy Hook E 1 mi,40-25-30 N,73-58-00 W,Stranded in gale,,,,,,,,"Gloucester, MA",,,,,,,,,,,,Y,N,Total loss,
S.S.Register,,,schooner,,,2/15/1846,1846,2,14,"Long Branch, NJ",39-44-46 N,74-05-20 W,Stranded in gale,,,,,,100,,,New Bern,NC,"New York, NY",Powers,5,1,1,,,Turpentine & peas,,Y,N,Total loss,
S.S.Reindeer (1867),,,schooner,,,1867,1867,,,Surf City N,,,Stranded,,,,,,,,,,,,Earl Bowker,,,,,,,,,N,,
S.S.Reliance (1944),,,schooner,,,8/17/1944,1944,8,17,Fenwick Island,38-27-00 N,75-02-48 W,Foundered; sank,,,143,,,,,,,,,,,,,,,,,Y,N ,4 time America's Cup winner,
S.S.Republic (1886),,,schooner,1882,"Milton, DE",6/14/1886,1886,6,14,Seabright LSS S 1.5 mi,,,,,,,,,66.25,,"Wilmington, DE",Milford,DE,"New York, NY",David Hill,5,0,0,"$4,000",$275,Wood,Seabright,Y,N,#110523; Total loss,
S.S.Rettie,,,schooner,,,5/2/1895,1895,5,2,Tuckerton Creek,,,Collision,,,,,,,,,,,,John Berry,,,,,,Clams,,,N,,
S.S.Rhodella Blew (1878),,C Matthews,schooner,1859,"Mauricetown, NJ",9/4/1878,1878,9,4,Barnegat,,,Grounded in gale,,,,,,184.43,173.21,"New York, NY",Norfolk,VA,"New York, NY",William Scull,5,0,0,$500,$600,250 ton wood,,N,N ,#21501; Refloated,
S.S.Rhodella Blew (1884),,,schooner,1859,"Mauricetown, NJ",3/26/1884,1884,3,26,Cape May LSS E 3 mi,,,Stranded in dense fog,,,,,,184.43,173.21,"New York, NY",New York,NY,"York River, VA",B Lyman,6,0,0,"$5,000",$0,None,,Y,N ,#21501; Total loss; broke apart,
S.S.Ricardo Barros,,J W Furman,schooner,1866,"Patchogue, NY",11/18/1874,1874,11,18,Hereford Shoal,,,Stranded,,Spain,,,8,160,108,"New York, NY",Puerto Rico,,"New York, NY",S B Newton,7,,0,"$7,000","$5,000",Oranges,Hereford Inlet #36,Y,N ,Total loss,
S.S.Richard T Green (1927),,Pittsburg Coal Co,schooner,1918,"Chelsea, MA",1927,1927,,,"Morgan, NJ",,,Burned,,,214.7,42,20.6,1467,1355,"Pittsburgh, PA",,,,F W Crocket,,,,,,,,,N,#216161,
S.S.Richard Thompson,,Levi Ludlam,schooner,1836,"New York, NY",1/20/1865,1865,1,20,"Ludlams Beach, NJ",,,Stranded,Oak,US,,,8,142,,"Cape May, NJ",Fortress Monroe,"Hampton, VA","Philadelphia, PA",,,,,,,,,N,N ,Refloated,
S.S.Richmond (1897),,,schooner,1859,"Richmond, ME",10/20/1897,1897,10,20,Spring Lake LSS S 1 mi,,,Stranded,,,75.1,23.7,7.3,99.71,94.72,"Rockland, ME",Philadelphia,PA,"Rockland, ME",Stanton,4,0,0,"$1,500",$300,Coal,Spring Lake,Y,N,#21595; Total Loss,
S.S.Richmond Packet,,,schooner,,,9/7/1837,1837,9,7,Little Egg Harbor Inlet,,,,,,,,,,,,Gloucester,MA,,Ellis,,,0,,,Mackeral,,Y,N,Vessel lost; Crew saved,
S.S.Ridgewood,,George M Smith,schooner,1863,"Greenpoint, NY",3/18/1871,1871,3,18,Squan Beach,,,Collision w/ unknown schooner,Wood,US,,,11,298,,,Georgetown,SC,"New York, NY",,,,,,,,,N,N,Damaged; Reached New York 3/20/1871,
S.S.Ringgold,,,schooner,,,8/22/1848,1848,8,22,Cape May N 7 mi,,,Stranded in gale; Bilged,,,,,,,,"Baltimore, MD",Baltimore,MD,Greenwich,Robertson,,,,,,,,Y,N ,Total loss,
S.S.Rising States,,,schooner,,,12/24/1824,1824,12,24,Deal Beach,,,Stranded,,,,,,,,,Charleston,SC,"New York, NY",,,,,,,Cotton,,,N,,
S.S.Rival (1904),,,schooner,1902,"Essex, MA",4/8/1904,1904,4,8,Brigantine Shoal,39-23-00 N,74-23-00 W,Grounded in fog,Wood,US,102.3,24.4,10.6,122,91,"Gloucester, MA",Hampton Roads,VA,"New York, NY",C W Farmer,18,0,0,"$15,000","$2,000",Fish,South Brigantine,Y,N ,#111397; Total Loss,
S.S.Rob Roy (1875),,,schooner,,,9/1/1875,1875,9,1,Tuckers Beach,,,Stranded,Wood,US,,,,48.53,,"New York, NY",New York,NY,"Bass River, NJ",Josiah H Cale,4,2,0,"$2,000","$1,000",General,,Y,N,Total loss; Crew saved,
S.S.Robert C Harris,,,schooner,1903,"Eastport, ME",8/5/1910,1910,8,5,Monmouth Beach LSS N .1 mi,,,Struck sunken object,Wood,US,48.5,16.5,7.5,21,16,"Gloucester, MA",Gloucester,MA,"New York, NY",,8,0,0,"$2,800",$400,Fish,Monmouth Beach,N,N,#111471; Refloated,
S.S.Robert F Stockton,,,schooner,,,1/2/1854,1854,1,2,,,,"Abandoned, dismasted, disabled",,,,,,,,"Brunswick, NJ",Long Island,NY,"Brunswick, NJ",Hynes,,,,,,,,Y,N,"Crew rescued by ""Chile""",
S.S.Robert H Mitchell,,,schooner,1875,"Dorchester Cty, MD",7/22/1894,1894,7,22,Seabright LSS E 2 mi,,,Foundered,,US,104,28.6,7.1,164,155.48,"Baltimore, MD",New York,NY,"Norfolk, VA",Pratt,5,0,0,"$5,000","$1,030",Salt,Seabright Sta,Y,N,#110264; Total loss,
S.S.Robert H Stanton,,,schooner,,,1839,1839,,,Cape May,,,Abandoned in gale,,US,,,,,,"Egg Harbor, NJ",Washington,DC,"New York, NY",,,,,,,,,,N ,,
S.S.Robert J Mercer,,E B Trusselen et al,schooner,1851,"Milford, DE",10/6/1873,1873,10,6,"Long Branch, NJ",,,"Abandoned, sinking",,US,,,9,173,,"Providence, RI",Philadelphia,PA,"Providence, RI",E B Trusselen,,,0,,,Coal,,Y,N,"Crew saved by ""Linda Stewart""",
S.S.Robert Morris,,,schooner,,,5/1/1855,1855,5,1,Schuykill River entrance,,,Collision with ice,,,,,,,,,Lewes,DE,"Philadelphia, PA",,,,,,,,,Y,N,"In tow of Steam tug ""Spy""; Sank",
S.S.Robert Ruff,,Ruff & Co,schooner,1871,"Bath, ME",5/16/1885,1885,5,16,Absecon E 35 mi,,,Damaged; Leaking,,,120.5,29.6,8.1,21.9,,"Galveston, TX",Tlacoralpan,Mexico,"New York, NY",P Macheprang,,,,,,,,N,N ,#110121; Partial Loss,
S.S.Rockland,,,schooner,,,2/13/1880,1880,2,13,"Long Branch, NJ",,,Foundered in gale,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Rodney,,,schooner,,,1836,1836,,,Toms River E 50 mi,40-00-00 N,73-10-00 W,Foundered,,,,,,,,,Philadelphia,PA,"New Bedford, MA",Kendrick,5,,0,,,,,Y,N,"Total loss; Crew rescued by ""Harriet""",
S.S.Rodney Parker,,Parker Corp,schooner,,"Hartford, CT",2/13/1874,1874,2,13,Sandy Hook Romer Shoal,,,Stranded; Bilged,,US,,,,389,,"New Haven, CT",Baltimore,MD,"New Haven, CT",Parker,,,,,,Coal,,Y,N,Total loss,
S.S.Roger Drury,,,schooner,1872,"East Boston, MA",3/11/1893,1893,3,11,Sandy Hook Point,,,Stranded,Wood,US,129.2,32,11,360.6,342.58,"Boston, MA",Satilla River,GA,"Fall River, MA",Deloy,9,,0,"$5,000","$8,800",Lumber,Sandy Hook,N,N,#110050; Refloated,
S.S.Root,,,schooner,,,9/13/1848,1848,9,13,Brigantine Shoal,,,Stranded in gale,,,,,,,,"Blue Hill, ME",Philadelphia,PA,"Portsmouth, NH",Bruce,,,,,,,,Y,N,Total loss; Crew saved,
S.S.Rough & Ready,,,schooner,,,3/1861,1861,3,,New Jersey coast,,,Foundered,,,,,,,,,New York,NY,"Philadelphia, PA",,,,,"$3,000",,,,,N,,
S.S.Ruhama and Mary,,,schooner,,,10/1837,1837,10,,Cape May,,,Damaged in gale,,,,,,,,"Philadelphia, PA",,,,,,,0,,,,,N,N,Crew rescued by Cape May Pilot boat,
S.S.Ruth Bingham,,,schooner,,,12/27/1867,1867,12,27,"Long Branch, NJ",,,Wrecked,,US,,,,761,,,,,,,5,,0,,,Lumber,,,N,,
S.S.Ruth Darling,,,schooner,1874,"Oreland, ME",3/28/1889,1889,3,28,Cape May,,,Collision,Wood,,107.1,27.9,9.6,202.75,192.61,"Buckport, ME",Ponce,Puerto Rico,"New Haven, CT",,,,2,,,Sugar,,Y,N,#110185; Total loss,
S.S.Ruth Shaw (1873),,Walker & Wallace,schooner,1867,"Millville, NJ",1/27/1873,1873,1,27,Sandy Hook Point,,,Stranded,,US,,,12,385.21,365.95,"Philadelphia, PA",Baltimore,MD,"Boston, MA",Shaw,,,,,,Coal,,,N,#21762; Refloated,
S.S.S 10,,,schooner,,,1850,1850,,,Absecon,,,Wrecked,,,,,,,,,,,,,5,,0,,,,Atlantic City,,Y,,
S.S.S A Rudolph,,,schooner,1882,"Camden, NJ",2/6/1889,1889,2,6,Island Beach LSS N .5 mi,,,Stranded,Wood,US,121,23.6,8.5,207,197,"Philadelphia, PA",Washington,NC,"New York, NY",Mullen,6,,0,"$8,000","$2,000",Lumber,Island Beach & Toms River,N,N,#115900; Refloated; Towed to NY,
S.S.S E Barnes,,,schooner,,,3/23/1878,1878,3,23,Barnegat Inlet North side,,,Grounded,,,,,,46,,"Staten Island, NY",New York,NY,"Toms River, NJ",,5,,0,"$4,000",$200,Lime,,N,N,#23817; Refloated,
S.S.S H McRae,,,schooner,,,12/13/1850,1850,12,13,Cape May N 10 mi,,,Stranded,,,,,,,,"New Bern, NC",New Bern,NC,"New York, NY",,,,,,,,,Y,N,Total loss,
S.S.S J Delan (1869),,,schooner,1869,"Islip, NY",2/2/1877,1877,2,2,Tuckers Beach,,,Stranded,,,59.4,20,5.2,36,23,"Onancock, VA",Hog Island,VA,"New York, NY",Mears,4,,0,"$4,000","$1,000",Corn,Little Egg,N,N,#23823; Refloated,
S.S.S J Delan (1899),,,schooner,1869,"Islip, NY",3/26/1899,1899,3,26,Atlantic City LSS N 1 mi,,,Stranded,,,59.4,20,5.2,36,23,"Chincoteague, VA",Hampton,VA,"Atlantic City, NJ",Moffard,3,,0,"$1,200",$600,Oysters,Atlantic City,N,Y,#23823; Refloated,
S.S.S Lockwood,,,schooner,1855,"Lebanon, DE",7/10/1867,1867,7,10,Barnegat,,,"Collision w/ ""Idahoe""",,US,80,23,8,94,,"Camden, NJ",Providence,RI,"Philadelphia, PA",Debre,5,,0,,,In ballast,,Y,N,Total loss,
S.S.S N Smith (1869),Samuel N Smith,Smith,schooner,1852,"Patchogue, NY",4/29/1869,1869,4,29,Corsons Inlet bar,39-12-10 N,74-38-30 W,Grounded,Wood,US,,,8.5,137,,"Brookhaven, NY",Boston,MA,"Philadelphia, PA",Potter,5,,,,,In ballast,,Y,N,Total loss,
S.S.S Phillips,,,schooner,,,1838 - 1878,1860,,,Squan Inlet S 10 mi,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,,
S.S.S T Dennis,,,schooner,,,12/19/1878,1878,12,19,Cape May Cold Spring Bar,,,Stranded,,,,,,,,"Berlin, MD",,,,,5,,0,,,,Cape May #39,N,N,Refloated,
S.S.S V W Simmons,,Franklin Smith,schooner,1869,"Camden, NJ",7/9/1887,1887,7,9,Barnegat,,,"Collision w/ ""Investigator""",,US,106,29,8,193.89,184.20,"Philadelphia, PA",Lainsville,MA,"Philadelphia, PA",Lewis Douglass,6,,0,"$2,000",,325 ton Paving stones,,N,N,#23736; Partial loss,
S.S.Saboye,,,schooner,,,12/4/1871,1871,12,4,"Cranberry Inlet, NJ",,,Stranded,,,,,,,,"Great Egg Harbor, NJ",,,,,,,,,,,,,N,,
S.S.Sada,,,schooner,1908,"Pokomoke City, MD",11/25/1912,1912,11,25,Little Egg LSS E 2 mi,,,Grounded,,,78.5,24,5.6,56,49,"Patchogue, NY",York River,VA,"Atlantic City, NJ",,3,,0,"$4,000","$2,000",Lumber,"Little Egg, Little Beach",N,N,#204996; Refloated,
S.S.Sadie & Edgar,,,schooner,,,1/29/1974,1974,1,29,Brigantine Little Beach E .5 mi,,,Foundered,,,61,,,,,,Essex,CT,"Atlantic City, NJ",Cyril LaBrecque,6,,2,,,,,Y,N,Total Loss,
S.S.Sallie C Morton,,,schooner,1868,"Chester, PA",10/21/1888,1888,10,21,Cape May LSS SE 2 mi,38-53-00 N,74-52-18 W,,Wood,,82,23,5,68,64.32,"Bridgeton, NJ",Millville,NJ,"New York, NY",Shaw,5,,0,"$2,000",$350,Sand,Cape May,,N,#23561,
S.S.Sally (1765),,,schooner,,,1765,1765,,,,,,Dismasted,,,,,,,,,Amboy,NJ,Indian River,Woolsey Burton,,,,,,,,N,N,Towed to Norfolk,
S.S.Sally (1823),,,schooner,,,1/1823,1823,1,,Cape May,,,Grounded,,,,,,,,,Norfolk,VA,"New York, NY",,,,1,,,,,,N,,
S.S.Samuel C Holmes (1896),,,schooner,,,11/23/1896,1896,11,23,Little Egg LSS S .5 m,,,Stranded,,,79.6,25,5.8,79,,"Wilmington, DE",New York,NY,"Atlantic City, NJ",Evans,5,,,"$3,000",$420,Brick,,N,N ,Refloated,
S.S.Samuel C Holmes (1906),,,schooner,1880,,11/15/1906,1906,11,15,Long Branch LSS S .5 mi,,,Stranded; Wrecked,,,79.6,25,5.8,79,,"Wilmington, DE",Virginia,,"New York, NY",Evans,4,,0,"$2,000",$225,Wood,Long Branch & Deal,,N ,,
S.S.Samuel Carlton,,,schooner,,,10/22/1878,1878,10,22,Barnegat Inlet,,,Stranded in gale,,,,,,144,,"Bridgeton, NJ",,,,,4,,,,,,Barnegat #17,N,N,#23981; Refloated,
S.S.Samuel Castner Jr,,Samuel Castner,schooner,1863,"Milford, DE",12/7/1880,1880,12,7,Island Beach LSS E 1.75 mi,,,Grounded,,US,,,,240,,"Philadelphia, PA",Providence,RI,"Philadelphia, PA",,6,,,,,In ballast,Island Beach #16,N,N,#22976; Refloated,
S.S.Samuel E Fabens,,Capt & others,schooner,1864,"Newburyport, MA",,,,,,,,Heavy weather ,,,,,,175,,"Newburyport, MA",St Pierre,Martineque,"New York, NY",,,,,,,,,N,N,No Loss,
S.S.Samuel H Sharp (1877),,Walker & Wallace,schooner,,,1/1/1877,1877,1,1,Sandy Hook SE 75 mi,,,Damaged in gale,Wood,US,114.4,28.9,9.9,249,207,"Philadelphia, PA",Virginia,,"New York, NY",Constant Webb,,,,,,Wood,,N,N,#22972; Partial loss,
S.S.Samuel H Sharp (1885),,Walker & Wallace,schooner,,,12/3/1885,1885,12,3,Ocean City S 8 mi,,,"Collision w/ ""Lillie A Warford""",Wood,US,114.4,28.9,9.9,249,207,"Philadelphia, PA",New York,NY,"James River, VA",,,,,,,Wood,,N,N,#22972; Partial loss,
S.S.Samuel H Sharp (1907),,,schooner,1862,"Mauricetown, NJ",1/25/1907,1907,1,25,Cape May LSS SSE 2.5 mi,,,Stranded,Wood,US,114.4,28.9,9.9,236,207,"New York, NY",Bermuda Hundred,VA,"New York, NY",Stroveland,6,,0,"$3,000","$1,000",Pine wood,Cape May,Y,N,#22972; Total loss,
S.S.Samuel Henry,,,schooner,,,4/23/1852,1852,4,23,Cape May Lighthouse N 2 mi,,,Grounded in gale; Bilged,,,,,,,,,,,,,,,,,,,,Y,N,Total loss,
S.S.Samuel L Russell,,,schooner,1869,"Leesburg, NJ",5/2/1888,1888,5,2,Absecon Inlet E .5 mi,,,Stranded,Wood,,79,25,7,193.68,184,"Bridgeton, NJ",Richmond,ME,"Atlantic City, NJ",,5,,,"$4,000","$1,000",Ice,,N,N,Refloated,
S.S.Samuel L Storer,"Also see ""Bremen"", ""Main"", ""Saale"", ""Kaiser Wilhelm der Grosse""",,schooner,1882,"Greenpoint, NY",5/17/1900,1900,5,17,Ocean City LSS E 1.25 mi,,,Stranded,,,66,21.2,9,59,56,"Greenpoint, NY",Hatteras,NC,"New York, NY",Graber,13,,0,"$6,000","$1,000",Fish,Ocean City,Y,N,Total Loss,
S.S.Samuel N Smith (1873),S N Smith,Robertson,schooner,1852,"Patchogue, NY",9/30/1873,1873,9,30,Highlands,,,Abandoned,Wood,US,,,8.5,137,,"Mystic, CT",Philadelphia,PA,"Pawtucket, RI",Matthews,,,0,,,250 ton coal,,,N,,
S.S.Samuel P Lord,S P Lord,,schooner,,,1/12/1856,1856,1,12,Deal Beach,,,Stranded,,,,,,,,,Baltimore,MD,"New York, NY",Smith,,,,,,Wheat & Corn,,,N,,
S.S.Samuel Phillips,,,schooner,,,2/5/1843,1843,2,5,Barnegat Inlet N 12 mi,,,Stranded in gale,,,,,,,,,Alexandria,VA,"New York, NY",Pretlyman,,,,,,,,Y,N,Presumed lost,
S.S.Samuel R Paynter,,,schooner,,,1/1854,1854,1,,Cape May Court House,,,Stem is cut,,,,,,,,,,,,,,,,,,,,Y,N,All hands lost; Total loss,
S.S.Samuel S Wyckoff,,,schooner,,,1828,1828,,,Barnegat,,,,,,,,,,,,,,,,4,2,6,,,,,Y,N,Vessel & bodies drifted ashore,
S.S.Samuel Warren,,John W Hall,schooner,1864,"Frederica, DE",2/2/1880,1880,2,21,Little Egg LSS,,,Grounded in Snow Blizzard,,US,,,,88,,"Frederica, DE",Millville,NJ,"New York, NY",Daniel Loper,4,0,0,"$3,000",$125,Plastering sand,Little Egg #23,Y,N,#23303; Total loss,
S.S.Samuel Wood (1876),,,schooner,1867,"Keyport, NJ",12/9/1876,1876,12,9,Little Egg Harbor LSS NW 1.5 mi,,,Stranded,,US,74.5,22.5,7,51,49,"New York, NY",Crisfield,MD,"Tuckerton, NJ",Brent,4,,0,"$3,000",$270,Oyster shells,Little Egg,N,N,#23708; Refloated,
S.S.Samuel Wood (1889),,,schooner,,,8/5/1889,1889,8,5,"Corsons Inlet, NJ",,,Capsized in hurricane,,US,,,,52,,,New York,NY,"Chincoteague, VA",,,,1,,,in ballast,,Y,N,,
S.S.San Antonia,,,schooner,,,12/24/1878,1878,12,24,Sandy Hook,,,Heavy northwest gales,,Spain,,,,,,,,,,,,,,,,,,N,N,Lost fore & main masts; jib boom,
S.S.San Luis,,,schooner,,,1838 - 1878,1860,,,Squan Inlet S 3.5 mi,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Sarah (1846),,,schooner,,,11/1846,1846,11,,Highland SSE 7 mi,,,Sank,,,,,,,,,Washington,DC,"New York, NY",Robinson,,,,,,,,Y,N,Total loss,
S.S.Sarah (1868),,,schooner,,,11/10/1868,1868,11,10,"Long Branch, NJ",,,Stranded,,,,,,,,,,,,,5,,0,"$30,000",,,,N,N,Refloated,
S.S.Sarah (1871),,Jabor Gordon & Co,schooner,1846,"Mattepoisett, MA",9/14/1871,1871,9,14,Sandy Hook Romer Shoal,,,Stranded,,,,,,104,,"New Bedford, MA",Philadelphia,PA,"Portsmouth, NH",,,,0,"$5,000",,Coal,,Y,N,Total loss,
S.S.Sarah A Green,,N Blanchard,schooner,1865,"East Boston, MA",4/5/1868,1868,4,5,"Ludlams Beach, NJ",39.09-12 N,74-41-12 W,Stranded,,,,,,94,,"Boston, MA",Boston,MA,"New York, NY",Elliot,5, ,0,,,General cargo,,Y,N,Vessel lost; cargo saved,
S.S.Sarah and Ellen,,,schooner,1880,"Deering, ME",3/20/1899,1899,3,20,Cape May LSS SSW,,,Stranded,,,142.5,34.6,12.7,582,497,"Portland, ME",New Orleans,LA,"Philadelphia, PA",,9,,,"$7,000","$18,000",Molasses,Cape May,N,N,#115720; Refloated,
S.S.Sarah and Lucy,,,schooner,1874,"Ware Creek, VA",3/4/1896,1896,3,4,Turtle Gut Inlet,,,Stranded,,,114,33.2,9,252.42,239.8,"New York, NY",New York,NY,"Scotland, VA",Rutter,7,,,"$2,000",,,,N,N,#115303; Refloated,
S.S.Sarah Clark,,,schooner,,,10/23/1878,1878,10,23,Pecks Beach LSS E 1 mi,,,Capsized in storm,,US,,,,163.8,,"Greenport, NY",Jacksonville,FL,"New York, NY",,6,,2,,,Line Lumber,,Y,N,#23041; Total loss,
S.S.Sarah Craig,,,schooner,1884,"Patchogue, NY",7/30/1886,1886,7,30,Sandy Hook,,,Capsized in gale,,US,,,,26.93,25.59,"Patchogue, NY",Atlantic City,NJ,"Sandy Hook, NJ",Ruland,2,13,7,,,In ballast,Sandy Hook,N,N,#115982; Partial loss,
